customer_id,latitude,longitude,volume
C00001,12.8984117,77.6753647,5
C00002,12.8853599,77.6417564,3
C00003,13.0092018,77.5835956,5
C00004,12.908844,77.5410977,10
C00005,13.0000077,77.552163,3
C00006,12.9074619,77.5950566,3
C00007,13.100742,77.4861734,10
C00008,12.9775705,77.5312574,6
C00009,12.9998962,77.5693762,2
C00010,13.155488,77.52295,5
C00011,12.8559982,77.5703537,2
C00012,13.0028459,77.620199,2
C00013,13.0027344,77.6283176,4
C00014,12.9566622,77.5333202,1
C00015,12.9401016,77.5643797,1
C00016,12.9993193,77.6157833,2
C00017,13.0577588,77.595066,2
C00018,13.0126344,77.761099,4
C00019,12.9862525,77.615515,2
C00020,12.9451318,77.5965522,1
C00021,12.9368483,77.7496436,9
C00022,12.9914643,77.5712116,3
C00023,13.1011193,77.6349963,3
C00024,12.9496216,77.6997317,1
C00025,12.9683009,77.5377378,2
C00026,12.9721073,77.4604407,4
C00027,12.9780533,77.6330968,1
C00028,12.9526492,77.5773228,4
C00029,13.0207823,77.636101,2
C00030,12.9995426,77.6107599,3
C00031,12.9458038,77.5884207,2
C00032,12.9658588,77.5924927,12
C00033,12.9779357,77.6332748,3
C00034,12.9168805,77.5800258,2
C00035,12.960753,77.575626,6
C00036,12.8440173,77.7758454,1
C00037,13.0436723,77.5674972,4
C00038,12.9585492,77.5620042,1
C00039,12.9133572,77.5859308,1
C00040,13.0460325,77.6019944,4
C00041,12.9703096,77.5761097,6
C00042,12.9866784,77.7446635,4
C00043,12.9189105,77.6493579,3
C00044,13.0636337,77.5888045,3
C00045,12.9039299,77.5094821,1
C00046,12.9982515,77.5489122,2
C00047,12.9467794,77.67533,2
C00048,12.9845494,77.5118053,7
C00049,12.901075,77.6509734,4
C00050,13.1326124,77.4035472,1
C00051,12.9877647,77.5558484,4
C00052,12.9585512,77.5253725,3
C00053,12.8994971,77.5613308,2
C00054,13.0409904,77.5636179,5
C00055,12.9381919,77.556125,7
C00056,12.9598498,77.7173096,6
C00057,12.9077814,77.4765263,2
C00058,12.9964417,77.695743,3
C00059,12.9704514,77.6530301,4
C00060,13.0115445,77.5548961,7
C00061,12.9492318,77.5829608,2
C00062,12.9264043,77.4942917,3
C00063,13.1024731,77.6284623,2
C00064,12.835602,77.6906797,1
C00065,12.9419235,77.5712377,6
C00066,12.9825032,77.6016498,9
C00067,12.8788511,77.6370793,3
C00068,13.0563555,77.6022113,7
C00069,12.9657866,77.6417312,4
C00070,12.883542,77.5662616,2
C00071,13.0639031,77.5883845,4
C00072,12.8764914,77.5746366,10
C00073,13.0243374,77.5862759,3
C00074,13.00032,77.6160306,10
C00075,12.9842579,77.6793484,1
C00076,12.9398518,77.6257018,6
C00077,12.9588435,77.6597215,4
C00078,12.9610487,77.5261786,3
C00079,13.0006526,77.6755508,4
C00080,12.9600613,77.6451094,1
C00081,12.9721584,77.5830647,3
C00082,12.9701437,77.5762001,4
C00083,12.939797,77.7471995,9
C00084,13.0470848,77.5735469,2
